Highest Max Temperature by Day for MANTI, UT
Click column heading to sort ascending, click again to sort descending.
Day, Jan, Jan-Year, Feb, Feb-Year, Mar, Mar-Year, Apr, Apr-Year, May, May-Year, Jun, Jun-Year, Jul, Jul-Year, Aug, Aug-Year, Sep, Sep-Year, Oct, Oct-Year, Nov, Nov-Year, Dec, Dec-Year
  1,  57,     1943, 56, 1987, 68, 1986, 73, 1966, 83, 1981, 91, 2025, 95, 1950,  97,     2020,  95,     1950, 86, 2010, 71, 2020, 66, 1995
  2,  59,     1981, 62, 2025, 65, 1986, 75, 2011, 86, 1947, 90, 2006, 95, 2001,  99,     2024,  96,     1950, 83, 2024, 73, 2025, 59, 2008
  3,  58,     1918, 67, 2025, 67, 1921, 75, 2021, 88, 1947, 89, 2021, 95, 2021,  95,     2020,  97,     1950, 83, 2024, 72, 2025, 59, 2017
  4,  52,     2007, 65, 2025, 64, 2016, 77, 2021, 87, 1947, 93, 2021, 96, 2001,  98,     1994,  95,     2022, 88, 2024, 73, 1999, 59, 1916
  5,  55,     1956, 68, 1963, 66, 1972, 80, 1959, 85, 1947, 90, 2021, 96, 1985,  97,     2024,  95,     2022, 82, 1947, 72, 2010, 62, 1958
  6,  58,     1956, 66, 2015, 71, 1972, 77, 1960, 83, 2021, 93, 2006, 97, 1989,  97,     2024,  96,     2022, 81, 2024, 72, 1980, 61, 1939
  7,  63,     1969, 64, 2015, 64, 1986, 76, 1930, 84, 1947, 93, 2006, 98, 1989,  99,     1960,  98,     2022, 84, 1979, 72, 1980, 58, 1939
  8,  60,     1969, 65, 1963, 70, 1972, 79, 1977, 82, 1989, 89, 2022, 99, 2021,  98,     1928,  92,     2022, 84, 1979, 73, 2006, 62, 1940
  9,  58,     1990, 64, 2017, 73, 1972, 77, 1996, 83, 2018, 90, 1973, 99, 2021,  95,     1928,  92,     2021, 83, 2024, 71, 1980, 58, 1929
 10,  56,     1948, 63, 2017, 71, 1989, 75, 2025, 85, 1960, 92, 1918, 96, 2024,  96,     2024,  89,     1958, 84, 1996, 71, 1980, 61, 1981
 11,  60,     2000, 65, 1961, 68, 1989, 80, 2025, 86, 1960, 93, 2022, 100, 2024,  97,     1960,  91,     1958, 82, 2024, 70, 1999, 59, 2025
 12,  56,     1953, 59, 1970, 69, 1972, 75, 1988, 86, 1960, 96, 1918, 99, 2024,  98,     1960,  91,     1990, 82, 1950, 73, 1928, 61, 1910
 13,  63,     1928, 61, 2015, 71, 2007, 79, 1963, 87, 1959, 95, 2021, 100, 2005,  98,     1958,  91,     1990, 82, 1950, 70, 2025, 59, 1929
 14,  58,     1928, 60, 1971, 71, 2017, 79, 1962, 85, 1976, 97, 2021, 99, 2005,  96,     2021,  90,     2000, 79, 1958, 71, 1967, 60, 1946
 15,  57,     1943, 59, 1996, 71, 2017, 79, 1962, 83, 2022, 96, 2021, 99, 2006,  96,     1962,  91,     2000, 79, 1958, 69, 1999, 61, 1977
 16,  56,     2000, 62, 1970, 72, 2007, 79, 1936, 86, 1927, 97, 2021, 99, 2006,  94,     2020,  90,     2000, 81, 1991, 69, 1999, 59, 1939
 17,  57,     1971, 60, 1977, 75, 2007, 79, 1987, 85, 2006, 97, 2021, 99, 2023,  96,     2020,  89,     1928, 84, 1950, 68, 1999, 63, 2025
 18,  58,     1959, 61, 1981, 75, 2017, 80, 1962, 86, 2009, 97, 2021, 98, 2009,  97,     2020,  90,     1956, 78, 2009, 68, 2020, 60, 1980
 19,  55,     2000, 65, 1972, 75, 2017, 83, 1980, 87, 1964, 97, 2025, 99, 2005,  98,     2025,  90,     1956, 78, 1954, 69, 2007, 64, 2025
 20,  56,     2005, 64, 1935, 73, 2004, 79, 1994, 87, 1958, 95, 2017, 101, 2005,  98,     1928,  88,     2005, 87, 1950, 64, 1989, 63, 1981
 21,  57,     1923, 63, 1995, 74, 2004, 81, 1969, 85, 2006, 97, 1961, 99, 2005,  99,     1928,  90,     2018, 80, 1927, 65, 1921, 61, 1969
 22,  60,     1981, 63, 1995, 73, 2004, 81, 1969, 86, 1967, 95, 1961, 98, 2022,  97,     2020,  87,     1966, 77, 2003, 66, 1914, 65, 2025
