Daily Precipitation Normal (inches)
Day,  Jan,  Feb,  Mar,  Apr,  May,  Jun,  Jul,  Aug,  Sep,  Oct,  Nov,  Dec
  1, 0.04, 0.03, 0.04, 0.04, 0.05, 0.04, 0.02, 0.03, 0.03, 0.04, 0.03, 0.04
  2, 0.03, 0.03, 0.04, 0.04, 0.05, 0.04, 0.02, 0.03, 0.03, 0.05, 0.03, 0.03
  3, 0.04, 0.03, 0.04, 0.05, 0.05, 0.04, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04
  4, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.01, 0.03, 0.03, 0.05, 0.03, 0.03
  5, 0.03, 0.03, 0.04, 0.05, 0.05, 0.04, 0.02, 0.03, 0.03, 0.04, 0.03, 0.04
  6, 0.03, 0.03, 0.04, 0.04, 0.05, 0.04, 0.02, 0.03, 0.03, 0.04, 0.03, 0.04
  7, 0.03, 0.03, 0.04, 0.05, 0.05, 0.04, 0.01, 0.03, 0.03, 0.04, 0.03, 0.04
  8, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.02, 0.03, 0.03, 0.05, 0.04, 0.04
  9, 0.03, 0.03, 0.04, 0.05, 0.05, 0.04, 0.02, 0.02, 0.03, 0.04, 0.03, 0.04
 10, 0.03, 0.03, 0.04, 0.05, 0.06, 0.03, 0.02, 0.03, 0.04, 0.04, 0.03, 0.04
 11, 0.03, 0.04, 0.03, 0.04, 0.05, 0.03, 0.01, 0.03, 0.03, 0.04, 0.03, 0.04
 12, 0.03, 0.03, 0.04, 0.05, 0.05, 0.03, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04
 13, 0.04, 0.03, 0.04, 0.05, 0.05, 0.04, 0.02, 0.03, 0.04, 0.05, 0.03, 0.05
 14, 0.03, 0.03, 0.04, 0.04, 0.05, 0.03, 0.02, 0.03, 0.03, 0.04, 0.03, 0.03
 15, 0.03, 0.04, 0.04, 0.05, 0.05, 0.03, 0.03, 0.02, 0.03, 0.04, 0.03, 0.04
 16, 0.03, 0.03, 0.05, 0.04, 0.05, 0.03, 0.02, 0.03, 0.04, 0.05, 0.03, 0.04
 17, 0.03, 0.04, 0.04, 0.05, 0.04, 0.03, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04
 18, 0.03, 0.03, 0.04, 0.04, 0.05, 0.03, 0.02, 0.02, 0.04, 0.04, 0.03, 0.04
 19, 0.04, 0.04, 0.04, 0.05, 0.05, 0.02, 0.03, 0.03, 0.03, 0.04, 0.04, 0.04
 20, 0.03, 0.03, 0.05, 0.05, 0.04, 0.03, 0.02, 0.02, 0.04, 0.04, 0.03, 0.04
 21, 0.03, 0.04, 0.04, 0.05, 0.05, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04
 22, 0.03, 0.04, 0.04, 0.05, 0.05, 0.03, 0.02, 0.02, 0.04, 0.04, 0.03, 0.04
 23, 0.03, 0.04, 0.04, 0.04, 0.04, 0.02, 0.03, 0.02, 0.05, 0.03, 0.03, 0.04
 24, 0.03, 0.04, 0.04, 0.05, 0.05, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04
 25, 0.03, 0.03, 0.04, 0.04, 0.04, 0.03, 0.03, 0.02, 0.04, 0.03, 0.03, 0.04
 26, 0.03, 0.04, 0.04, 0.05, 0.05, 0.02, 0.02, 0.03, 0.04, 0.04, 0.04, 0.04
 27, 0.03, 0.04, 0.05, 0.05, 0.04, 0.02, 0.03, 0.02, 0.04, 0.04, 0.03, 0.04
 28, 0.03, 0.04, 0.04, 0.05, 0.04, 0.02, 0.03, 0.02, 0.04, 0.04, 0.03, 0.04
 29, 0.03,    -, 0.04, 0.05, 0.04, 0.02, 0.02, 0.03, 0.04, 0.03, 0.04, 0.04
 30, 0.03,    -, 0.05, 0.05, 0.05, 0.02, 0.03, 0.02, 0.04, 0.04, 0.03, 0.04
 31, 0.03,    -, 0.04,    -, 0.04,    -, 0.03, 0.03,    -, 0.04,    -, 0.04

Max Temperature Normal (°F)
Day, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
  1,  37,  39,  48,  57,  63,  75,  85,  88,  82,  71,  58,  42
  2,  37,  40,  48,  57,  64,  75,  85,  87,  82,  70,  57,  41
  3,  37,  40,  49,  57,  64,  76,  85,  87,  81,  70,  57,  41
  4,  37,  40,  49,  57,  64,  76,  86,  87,  81,  69,  56,  40
  5,  37,  40,  49,  58,  65,  76,  86,  87,  81,  69,  56,  40
  6,  37,  40,  50,  58,  65,  77,  86,  87,  80,  68,  55,  40
  7,  37,  40,  50,  58,  66,  77,  86,  87,  80,  68,  55,  39
  8,  37,  41,  51,  58,  66,  77,  86,  87,  80,  68,  54,  39
  9,  37,  41,  51,  58,  66,  78,  87,  86,  80,  67,  54,  39
 10,  37,  41,  52,  58,  67,  78,  87,  86,  79,  67,  53,  38
 11,  38,  41,  52,  58,  67,  78,  87,  86,  79,  66,  53,  38
 12,  38,  42,  52,  59,  68,  79,  87,  86,  79,  66,  52,  38
 13,  38,  42,  53,  59,  68,  79,  87,  86,  78,  65,  52,  37
 14,  38,  42,  53,  59,  68,  79,  87,  86,  78,  65,  51,  37
 15,  38,  42,  53,  59,  69,  80,  88,  85,  77,  65,  50,  37
 16,  38,  43,  54,  59,  69,  80,  88,  85,  77,  64,  50,  37
 17,  38,  43,  54,  59,  69,  80,  88,  85,  77,  64,  49,  37
 18,  38,  43,  54,  60,  70,  81,  88,  85,  76,  63,  49,  37
 19,  38,  44,  55,  60,  70,  81,  88,  85,  76,  63,  48,  36
 20,  38,  44,  55,  60,  71,  81,  88,  85,  75,  63,  48,  36
 21,  38,  44,  55,  60,  71,  82,  88,  84,  75,  62,  47,  36
 22,  39,  45,  55,  61,  71,  82,  88,  84,  75,  62,  47,  36
 23,  39,  45,  56,  61,  72,  82,  88,  84,  74,  61,  46,  36
 24,  39,  46,  56,  61,  72,  83,  88,  84,  74,  61,  45,  36
 25,  39,  46,  56,  61,  73,  83,  88,  84,  73,  61,  45,  36
 26,  39,  46,  56,  62,  73,  83,  88,  83,  73,  60,  44,  36
 27,  39,  47,  56,  62,  73,  84,  88,  83,  72,  60,  44,  36
 28,  39,  47,  56,  62,  74,  84,  88,  83,  72,  59,  43,  36
 29,  39,   -,  57,  63,  74,  84,  88,  83,  72,  59,  43,  36
 30,  39,   -,  57,  63,  74,  84,  88,  82,  71,  58,  42,  36
 31,  39,   -,  57,   -,  75,   -,  88,  82,   -,  58,   -,  36

Min Temperature Normal (°F)
