Lowest Min Temperature by Day for MANTI, UT
Click column heading to sort ascending, click again to sort descending.
Day, Jan, Jan-Year, Feb, Feb-Year, Mar, Mar-Year, Apr, Apr-Year, May, May-Year, Jun, Jun-Year, Jul, Jul-Year, Aug, Aug-Year, Sep, Sep-Year, Oct, Oct-Year, Nov, Nov-Year, Dec, Dec-Year
1, -12, 1919, -17, 1951, -1, 1962, 11, 1975, 18, 1915, 28, 1923, 37, 1968, 43, 1975,  37,     1962, 25, 1950, 15, 1972, -1, 2004
2, -15, 1912, -16, 1917, 1, 2002, 10, 1975, 18, 1915, 30, 1916, 38, 1911, 40, 1915,  32,     2008, 21, 1950, 8, 1951, -2, 2004
3, -16, 1912, -8, 2011, 1, 1917, 11, 1945, 21, 1964, 28, 1915, 32, 1921, 39, 1911,  33,     1964, 26, 1969, 8, 1936, -4, 2004
4, -16, 1971, -11, 1923, 2, 1989, 12, 1945, 21, 1912, 32, 1951, 40, 1921, 43, 1944,  35,     1961, 28, 2016, 9, 1956, 0, 1952
5, -20, 1971, -11, 1982, 1, 1976, 13, 1955, 19, 1975, 30, 1937, 41, 1993, 40, 1976,  35,     2004, 24, 2013, 13, 1935, -10, 2013
6, -20, 1971, -19, 1989, 4, 1939, 15, 2023, 24, 2003, 30, 2012, 38, 1982, 40, 1912,  32,     1912, 18, 1913, 12, 1993, -9, 2013
7, -22, 1913, -19, 1989, 5, 1964, 12, 2012, 21, 2010, 30, 1954, 41, 2009, 44, 2011,  30,     1911, 22, 2011, 12, 1943, -1, 1978
8, -14, 1982, -14, 1989, -5, 1964, 14, 1975, 23, 2002, 31, 2007, 40, 1926, 42, 1954,  32,     1941, 23, 1959, 12, 1948, -11, 1978
9, -25, 1937, -16, 1929, 2, 1964, 14, 1955, 20, 1948, 31, 1979, 40, 1950, 43, 2009,  31,     1962, 23, 1968, 9, 1945, -17, 1919
10, -15, 1937, -26, 1933, 4, 1919, 15, 2013, 24, 1953, 27, 2002, 42, 1911, 41, 1974,  30,     1916, 22, 2019, 4, 1950, -18, 1972
