Highest Precipitation by Day for MANTI, UT
Click column heading to sort ascending, click again to sort descending.
Day, Jan, Jan-Year, Feb, Feb-Year, Mar, Mar-Year, Apr, Apr-Year, May, May-Year, Jun, Jun-Year, Jul, Jul-Year, Aug, Aug-Year, Sep, Sep-Year, Oct, Oct-Year, Nov, Nov-Year, Dec, Dec-Year
1, 0.63, 2023, 0.34, 1923, 0.63, 1916, 0.65, 1957, 0.44, 1954, 1.06, 1936, 0.55, 1925, 0.41, 1968, 0.42, 2008, 1.07, 1916, 0.34, 1936, 1.03, 2007
2, 0.40, 1936, 0.65, 2006, 0.73, 1952, 0.61, 1957, 1.29, 1995, 1.03, 1943, 0.26, 1977, 0.81, 2015, 0.70, 1997, 1.05, 1946, 1.07, 1978, 0.70, 2005
3, 0.76, 1997, 0.38, 1945, 1.02, 1957, 0.45, 2011, 0.95, 1999, 0.96, 1944, 0.55, 1995, 0.81, 2001, 0.80, 1910, 1.15, 2002, 0.55, 2024, 0.38, 1950
4, 0.50, 1955, 0.38, 1940, 0.76, 1983, 0.52, 1935, 0.66, 1960, 0.69, 1936, 0.31, 1914, 0.84, 1916, 0.50, 1983, 0.73, 2018, 0.26, 1963, 0.76, 1950
5, 0.64, 1982, 0.70, 1921, 0.42, 1990, 0.49, 2006, 0.48, 2025, 0.51, 2007, 0.33, 1954, 0.38, 2009, 0.94, 1981, 0.83, 1925, 0.39, 1918, 0.77, 1951
6, 0.64, 1937, 0.40, 1919, 0.72, 1961, 0.54, 1969, 0.59, 2015, 0.65, 2020, 0.39, 1981, 0.82, 1988, 0.72, 1939, 0.90, 2006, 0.60, 1953, 1.67, 1966
7, 0.30, 1965, 0.56, 1965, 0.72, 2014, 0.76, 1961, 1.07, 1964, 1.35, 1984, 0.65, 2015, 0.60, 1992, 1.08, 1929, 0.94, 1999, 0.74, 1915, 0.90, 2007
8, 0.55, 2017, 0.41, 1959, 0.27, 2020, 0.58, 1935, 0.72, 2000, 0.42, 1984, 0.54, 1914, 0.55, 1968, 0.62, 1961, 0.47, 1939, 0.50, 1919, 0.47, 2003
9, 0.21, 2018, 0.84, 1953, 0.76, 1938, 0.46, 1935, 0.85, 1922, 1.03, 2006, 0.50, 1981, 0.47, 1917, 1.04, 1912, 0.61, 1912, 0.73, 2002, 0.42, 1931
10, 0.70, 1940, 0.43, 1999, 0.54, 1926, 0.70, 1914, 0.56, 1980, 0.96, 1970, 1.20, 1953, 0.69, 1999, 0.51, 1998, 0.80, 1920, 0.42, 1982, 0.45, 1949
11, 0.49, 1979, 0.28, 1950, 0.70, 1940, 0.35, 1970, 1.68, 2014, 0.88, 1990, 0.70, 1936, 0.70, 1926, 0.92, 1926, 0.86, 1981, 0.42, 1964, 0.43, 1910
12, 0.76, 1940, 0.76, 1959, 0.66, 1928, 0.46, 1912, 0.71, 2004, 0.97, 2010, 0.31, 1914, 0.83, 2024, 0.67, 1958, 0.80, 2012, 1.00, 1985, 1.02, 1937
13, 0.45, 1957, 0.46, 1939, 0.66, 1937, 0.62, 1968, 0.73, 1965, 1.17, 2010, 0.65, 2011, 0.98, 1945, 0.88, 1927, 0.91, 1941, 0.58, 1964, 0.61, 1922
14, 1.02, 1953, 0.59, 1968, 0.86, 1983, 0.29, 1976, 0.51, 2023, 0.34, 1955, 0.54, 1999, 1.03, 2012, 0.56, 1966, 0.42, 1941, 0.55, 1988, 0.69, 2015
15, 0.42, 1978, 0.60, 1910, 1.02, 1945, 0.51, 1924, 0.64, 2015, 0.60, 2023, 0.73, 1967, 0.46, 2011, 0.70, 2017, 0.79, 1980, 0.29, 1958, 0.44, 1933
16, 0.57, 1956, 0.70, 1936, 0.51, 1987, 1.06, 1920, 0.63, 1983, 0.28, 1998, 0.73, 2008, 0.48, 1961, 0.51, 2002, 0.82, 2006, 0.56, 1969, 0.91, 2016
17, 0.81, 1996, 0.70, 1984, 0.63, 2003, 0.87, 1968, 0.49, 1987, 0.68, 1998, 0.28, 1937, 0.60, 1968, 1.23, 1965, 0.77, 1984, 0.66, 1961, 0.40, 2002
18, 0.76, 1983, 0.89, 1980, 0.79, 2012, 0.90, 1973, 0.81, 2011, 1.32, 1982, 0.46, 1930, 0.66, 1956, 0.84, 1997, 0.93, 2024, 0.79, 1983, 0.55, 2012
19, 0.98, 1954, 0.58, 1980, 0.47, 1987, 0.50, 1995, 1.14, 1941, 0.75, 2011, 0.27, 1973, 0.60, 2021, 1.09, 1972, 1.04, 1943, 0.91, 1977, 0.57, 1929
20, 0.55, 1917, 0.61, 1980, 0.74, 1932, 0.63, 1985, 1.33, 1975, 0.63, 1947, 0.51, 1985, 0.37, 1970, 0.88, 2006, 1.01, 1979, 0.72, 1942, 1.35, 2010
21, 0.56, 1962, 0.38, 1921, 0.62, 1954, 0.60, 1988, 0.71, 2008, 0.91, 1947, 0.67, 1984, 1.38, 1921, 0.56, 2000, 1.03, 2004, 0.67, 2013, 1.23, 2010
22, 0.31, 1941, 0.54, 2000, 0.76, 1936, 0.70, 1957, 0.62, 2007, 0.18, 1947, 1.06, 1914, 1.28, 1946, 1.14, 1961, 0.60, 2004, 1.03, 1996, 0.70, 2014
23, 0.63, 1978, 0.49, 2001, 0.79, 2017, 0.52, 1929, 1.14, 1996, 0.60, 2005, 0.39, 1962, 0.54, 1980, 0.78, 1937, 0.64, 2022, 0.58, 1965, 0.78, 1987
