Year        Jan Feb Mar Apr May Jun     Jul     Aug Sep Oct Nov Dec Total
1949-1950	0.0	T	T	1.1	T	19.0	22.8	2.3	4.0	1.8	2.2	T	53.2
1950-1951	T	0.0	T	0.0	2.5	3.8	15.7	3.4	8.9	1.7	T	0.0	36.0
1951-1952	0.0	0.0	0.0	T	11.5	26.0	25.2	19.0	35.6	T	T	T	117.3
1952-1953	0.0	0.0	0.0	0.0	5.6	14.1	11.4	T	10.1	5.3	0.1	T	46.6
1953-1954	0.0	T	0.0	T	0.4	12.7	10.6	5.6	10.7	0.0	T	T	40.0
1954-1955	0.0	T	0.0	T	1.6	4.2	22.5	16.5	0.6	21.8	2.9	0.0	70.1
1955-1956	0.0	0.0	0.0	T	15.8	10.1	6.5	18.6	2.2	2.7	T	0.0	55.9
1956-1957	0.0	0.0	0.0	10.4	7.0	11.8	18.4	0.3	4.2	5.1	T	0.0	57.2
1957-1958	0.0	0.0	0.0	0.0	6.3	11.1	7.6	9.5	15.7	15.5	0.0	0.0	65.7
1958-1959	0.0	0.0	0.0	T	10.4	2.9	11.8	15.2	0.4	1.3	0.0	0.0	42.0
1959-1960	0.0	0.0	0.0	T	0.6	10.6	13.5	18.2	11.4	0.7	1.0	0.0	56.0
1960-1961	0.0	0.0	0.0	T	5.0	4.5	0.1	16.0	4.9	0.8	T	0.0	31.3
1961-1962	0.0	0.0	0.0	8.3	11.1	8.5	15.6	10.1	25.3	1.6	0.0	0.0	80.5
1962-1963	0.0	0.0	0.0	T	2.4	0.9	7.4	0.5	16.0	14.3	0.0	0.0	41.5
1963-1964	0.0	0.0	0.0	T	7.6	12.9	18.2	8.0	33.5	1.7	5.3	0.0	87.2
1964-1965	0.0	0.0	0.0	0.0	6.7	6.2	15.7	9.5	1.1	2.4	5.3	0.0	46.9
1965-1966	0.0	0.0	0.0	0.0	2.6	12.8	5.9	18.1	17.4	2.8	0.0	0.0	59.6
1966-1967	0.0	0.0	0.0	3.6	3.2	8.7	30.4	4.5	11.8	11.4	1.0	0.0	74.6
1967-1968	0.0	0.0	0.0	0.0	4.2	27.1	6.8	13.6	8.4	14.2	T	T	74.3
1968-1969	0.0	0.0	0.0	T	8.7	33.3	13.7	27.9	5.4	0.2	0.0	0.0	89.2
1969-1970	0.0	0.0	0.0	0.1	5.6	16.0	2.8	3.9	5.2	23.6	0.0	0.0	57.2
1970-1971	0.0	0.0	0.0	0.3	0.7	25.8	13.6	8.7	8.9	1.7	1.4	0.0	61.1
1971-1972	0.0	0.0	4.0	16.6	5.4	17.7	10.5	7.6	1.4	15.0	0.0	0.0	78.2
1972-1973	0.0	0.0	0.0	6.0	1.1	35.2	20.9	3.6	17.8	2.6	0.0	0.0	87.2
1973-1974	0.0	0.0	0.0	1.3	19.5	19.6	20.1	17.2	6.7	26.4	T	T	110.8
1974-1975	0.0	0.0	0.0	T	T	8.8	12.5	7.9	22.8	13.1	7.5	0.0	72.6
1975-1976	0.0	0.0	0.0	0.1	18.0	11.8	8.6	15.8	18.7	3.5	0.0	T	76.5
1976-1977	0.0	0.0	0.0	0.0	T	1.2	8.6	3.2	41.9	4.8	0.6	0.0	60.3
1977-1978	0.0	0.0	0.0	0.2	8.5	8.2	15.6	15.5	6.2	2.5	4.6	0.0	61.3
1978-1979	0.0	0.0	1.0	0.0	17.4	8.7	13.8	12.4	3.6	7.7	T	0.0	64.6
1979-1980	0.0	0.0	0.0	0.0	4.6	8.5	24.5	2.9	19.9	1.2	T	0.0	61.6
1980-1981	0.0	0.0	0.0	T	3.9	3.3	8.9	2.7	11.1	0.3	T	T	30.2
1981-1982	0.0	0.0	0.0	4.4	2.4	11.5	15.3	4.5	10.2	9.5	T	T	57.8
1982-1983	0.0	0.0	0.0	0.2	1.0	20.1	6.2	1.0	13.3	9.0	5.0	0.0	55.8
1983-1984	0.0	0.0	0.0	0.0	5.9	34.2	7.6	18.5	6.7	25.1	T	T	98.0
1984-1985	0.0	0.0	T	20.4	6.6	12.9	12.7	11.4	8.0	0.7	0.0	0.0	72.7
1985-1986	0.0	0.0	0.0	T	27.2	14.7	3.9	1.7	1.0	5.5	T	0.0	54.0
1986-1987	0.0	0.0	T	0.0	4.4	1.7	16.4	9.9	3.0	2.1	0.0	0.0	37.5
1987-1988	0.0	0.0	0.0	0.0	0.6	11.0	16.3	0.4	6.1	T	0.9	0.0	35.3
